* YES : Exact same behavior with handlebars.js run in nodejs
* NO : Do not support, can not parse the template
* OUTPUT : Do not output for array value, object or true
* CR/LF : Output more or less CR/LF (minor issue)
* QUOTE : Encode ' to &amp;#039;, not to &amp;#x27; (minor issue)
* SINGLEQUOTE : Do not encode ' to &amp;#x27;
|	test case	| handlebars.php	|	lightncandy	|	mustache-php	|	mustache.php	|
|  001-simple-vars-001	|	          YES	|	          YES	|	       OUTPUT	|	          YES |
|  001-simple-vars-002	|	       OUTPUT	|	       OUTPUT	|	       OUTPUT	|	       OUTPUT |
|  001-simple-vars-003	|	          YES	|	          YES	|	       OUTPUT	|	          YES |
|  001-simple-vars-004	|	          YES	|	          YES	|	       OUTPUT	|	          YES |
|  001-simple-vars-005	|	          YES	|	          YES	|	       OUTPUT	|	          YES |
|  001-simple-vars-006	|	       OUTPUT	|	       OUTPUT	|	       OUTPUT	|	       OUTPUT |
|    002-simple-if-001	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|    002-simple-if-002	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|    002-simple-if-003	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|  003-simple-else-001	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|  003-simple-else-002	|	        CR/LF	|	       OUTPUT	|	          YES	|	        CR/LF |
|  003-simple-else-003	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|  003-simple-else-004	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-005	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-006	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-007	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-008	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-009	|	        CR/LF	|	          YES	|	          YES	|	        CR/LF |
|  003-simple-else-010	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-011	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
|  003-simple-else-012	|	       OUTPUT	|	          YES	|	       OUTPUT	|	       OUTPUT |
| 004-simple-mvars-001	|	          YES	|	          YES	|	          YES	|	          YES |
